,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
ma_ratio_XLB,0.003496542080410785,0.01717344958662702,0.00048477213006203207,0.000525670430004838,0.012352342665010297,0.0025608156062542345,0.0023906273529324096,0.00048708448567340117,0.0095806215930637
ma_ratio_XLE,0.01686545890411965,0.009286202031601319,0.002166635575119161,0.005650641339746585,0.012212936081804415,0.009096838441924984,0.0051177508709315525,0.003674081174749107,0.013535805648685286
ma_ratio_XLF,0.008518233761813047,0.006157656861957368,0.006038786126227651,0.007003118052390024,0.0028604101320635583,0.00710962144394411,0.02196796294806119,0.0034855752116169673,0.0006886610505079097
ma_ratio_XLI,0.003913677751759591,0.0005796763566137425,0.0023325965386404683,0.0030607749333762483,0.014519723335840574,0.003174727806659437,0.003072840257564946,0.0021803592545584826,0.003080011176055564
ma_ratio_XLK,0.0028349173962678486,0.003633800305767487,0.0076668290260580255,0.002841628747720199,0.0175378795195506,0.013724716906535537,0.02360849868959799,0.020226168955654548,0.017539981746873514
ma_ratio_XLP,0.0012823438249202825,0.0030948236296276053,0.028557314296802687,0.0035094918746041643,0.0033308833347100385,0.00621542337061926,0.017498093587841605,0.028352031124276107,0.004683374484568422
ma_ratio_XLU,0.005856757228112739,0.011957923542726921,0.018317059324810505,0.016593320109863,0.011411552083859898,0.004471924348964292,0.005727287796516763,0.021316101947375963,0.02216550207987191
ma_ratio_XLV,0.02902369903256206,0.02400795193605287,0.023922253714531598,0.020100347246497504,0.018315870051283444,0.024030849941085876,0.04132089062884068,0.015823892138976565,0.010765692789262796
ma_ratio_XLY,0.01307343552273014,0.010459807222767233,0.006430282714783719,0.00542439278976803,0.06201338458837803,0.02079449094606004,0.014042023818719548,0.010155333895523689,0.034053215269581015
mom12m_XLB,0.01542345904499597,0.014429772155514243,0.016097380839262397,0.04013565961189284,0.006875610762784338,0.008946773882261118,0.003348520379075523,0.008257060969284712,0.005652343452146528
mom12m_XLE,0.017178645739573162,0.013079507405815786,0.01948135130288421,0.008997534369974705,0.021371113682928034,0.003950639678326683,0.0035433030155354404,0.018305822899443668,0.02556714256139331
mom12m_XLF,0.09462359730355432,0.1712790223319203,0.09791513118669877,0.10265685893524658,0.05343779134905415,0.12067463506418452,0.01817658320169064,0.04901745841217914,0.03514597283201217
mom12m_XLI,0.004004309487603491,0.017055756073835658,0.00600492947821764,0.01272748745400523,0.003662429550235658,0.004292240817536257,0.006921895023124661,0.0012902542546245669,0.006748573564527642
mom12m_XLK,0.009779296596078483,0.001490062088198627,0.023099229628498218,0.007446891381375882,0.0012556065365103859,0.005888316732052993,0.00444473417448411,0.012138429613288163,0.012987106508445482
mom12m_XLP,0.011922441488004365,0.014350346381677417,0.00798634149584265,0.01562810287748967,0.012621008489051082,0.01240806420508785,0.0077700971121229855,0.009702465237404746,0.03292326707015237
mom12m_XLU,0.028044060655290352,0.0011499774295781235,0.01199823022981316,0.01989709572646022,0.01095166162128739,0.005530385889200638,0.011206697580060602,0.042435073451962756,0.006464971093309185
mom12m_XLV,0.014249815559675394,0.006476225902606197,0.03246994304788086,0.013706236600975091,0.0049806000105236765,0.016749332865932595,0.018509791168586854,0.023627676294495508,0.00434893844060085
mom12m_XLY,0.02898045350675113,0.010254274192591135,0.015903080452795322,0.0013770199690896086,0.0012741702313455781,0.03088137083183536,0.014339347818203556,0.014188497234576509,0.009851867023685044
mom1m_XLB,0.04503608821848081,0.007953590191605495,0.00834858403948179,0.00516603493797725,0.009229804826181088,0.003072490151832858,0.005618223514857642,0.034165521890344934,0.028928199797565914
mom1m_XLE,0.027137649549969417,0.11888223621863607,0.11875538755184877,0.10651929481217029,0.009912024867370873,0.014982195140765724,0.05173338262370404,0.03662370748397306,0.02808684036842303
mom1m_XLF,0.02704169009823633,0.006360456395675683,0.016134479539716272,0.005085742489586189,0.0032766707239390656,0.004253604018582919,0.03904752462543905,0.026828763237861014,0.010296117174376243
mom1m_XLI,0.014727404897313258,0.002614003389932545,0.029822674870587772,0.01415020687889367,0.006138134136696842,0.00544394903245184,0.02347433663596117,0.015285129620631405,0.0006115801458507358
mom1m_XLK,0.007264595229810593,0.006034534561764292,0.0038979212959925165,0.006706060422462474,0.023992341883644318,0.008726396530654545,0.015480876565731633,0.0379427633575515,0.015042425812742755
mom1m_XLP,0.005731942018117169,0.007242997844441599,0.0030318050444925384,0.02947259935590203,0.0016378590924275651,0.0011198438422616666,0.007264471598017371,0.023666260817112227,0.004103672586809148
mom1m_XLU,0.009955720361826103,0.017082850966349355,0.02963338422279244,0.033345990881801645,0.007777092012619863,0.0035296503638202912,0.024617622791953554,0.0411751901119239,0.030056125933645785
mom1m_XLV,0.005961275602348979,0.008668117227422526,0.007344610667308422,0.022022130010136393,0.007841179579335495,0.009203610341051556,0.002789961530722066,0.002265147664883384,0.012132448800972178
mom1m_XLY,0.01924249157091155,0.02179117575512011,0.0027083983397746276,0.00700424539766971,0.01709980420607989,0.0362242572956517,0.03521567144736942,0.01965884122071549,0.044087379884765535
mom3m_XLB,0.0032685459543606004,0.009636461329194353,0.0007133548240904882,0.008201828909280045,0.014879102382066633,0.014337942475867043,0.0014043600589309696,0.0006854748178063197,0.0012491935308567084
mom3m_XLE,0.014107104930405234,0.006701878645379951,0.00829180403835225,0.003211473989970764,0.010684475943594151,0.02036096777848933,0.03059119046736575,0.022182470654908217,0.006318603318131937
mom3m_XLF,0.0023662494952876364,0.019880308802507435,0.0027139958067174254,0.003255151571580517,0.023584145962869826,0.007133889088674403,0.009751441106582997,0.004772599792651271,0.020978089920430248
mom3m_XLI,0.012791053949224546,0.0028420774046874057,0.02138232651177457,0.02053110989837831,0.006491439425011169,0.0012391700859696612,0.00511085789395149,0.008983293229297685,0.007203268155514828
mom3m_XLK,0.0049664304498158104,0.004453643253171761,0.0006612744914233963,0.005283761046226815,0.0055095555865788135,0.0032886691014313747,0.022337710695307083,0.01820897820847764,0.005495439212732599
mom3m_XLP,0.004560953134920993,0.01408690470343987,0.010952201987673611,0.007724784850061113,0.004162558785504632,0.03518909277458505,0.038454760771238036,0.009829902821804216,0.013733876634864738
mom3m_XLU,0.025400668931990233,0.006659440407425561,0.002034742206148437,0.01006223433204429,0.005302724773264609,0.016655034154685385,0.05207258704886865,0.00750950311026636,0.006146804495035103
mom3m_XLV,0.018975744078013137,0.041384106524863275,0.015615344085874732,0.05001917253514173,0.02957403196681054,0.018338897194606754,0.0022429093809427677,0.03316278057388249,0.006248741502012389
mom3m_XLY,0.013239327118225154,0.013342799512105102,0.007704491816398646,0.0073552974915505175,0.030417252256274785,0.022973574195336768,0.029965315359572527,0.009752828127012737,0.08788590368088812
mom6m_XLB,0.004595151993410404,0.02541632881917849,0.007032970251133478,0.013790212254148518,0.002079387034421051,0.0012890583933043726,0.002716019708024288,0.0009249826632990256,0.002623652240725392
mom6m_XLE,0.027009393288126005,0.016074166393287435,0.003913356768400676,0.013966505202071423,0.00323315154497819,0.0036801045910408612,0.0027778229080503117,0.012152033107701403,0.009619086907969409
mom6m_XLF,0.008941706774648873,0.0025492789761567313,0.0060531605753269095,0.00021382192972444486,0.00538010128123043,0.002659181369424243,0.006978769365585686,0.004545502673656134,0.0016509425390478093
mom6m_XLI,0.002606909114528511,0.01569131107895149,0.003474172284828533,0.021863293776710434,0.009699572193240769,0.00037694605674236517,0.004254125680105305,0.009521112171155088,0.001389167328805104
mom6m_XLK,0.022034419532499364,0.02042442989371343,0.0052207894534036705,0.002319273332771295,0.005248705318648385,0.019689469666682915,0.00649343256444046,0.004563863620726724,0.002378041992824759
mom6m_XLP,0.05313581073577165,0.0031431709807927103,0.018363830566190325,0.02797607192106151,0.029812739961988233,0.04036362900184224,0.002345643391720454,0.032846528258146844,0.021503632171359754
mom6m_XLU,0.009132792471784251,0.00979117816552477,0.0062590008785272135,0.025723480394825606,0.04273557923034007,0.00859943689716949,0.016522326959019364,0.003641890264258665,0.03279327049203011
mom6m_XLV,0.01329169396953738,0.008860418861684276,0.011307338850010758,0.022349356158826585,0.008858888409744909,0.010476073604243408,0.00738569292018357,0.018047204248631966,0.006039296508015847
mom6m_XLY,0.003061544123803743,0.006311692672251075,0.012217303508861639,0.014612347590961684,0.01359281163097391,0.012155060798280777,0.029652602014528524,0.006357750144803522,0.0175041531476322
rs6m_XLB,0.019910245753190003,0.0058130505529756914,0.027909886316836247,0.030281372327300844,0.051227819450877864,0.034800024188619334,0.009843486348610373,0.024266259299453714,0.05146253086289585
rs6m_XLE,0.034791101178976463,0.039434896202638896,0.028504000593625574,0.03293779189080798,0.048762583520194094,0.02320002521646961,0.009264256739991464,0.009030251441806619,0.019388109989478278
rs6m_XLF,0.01593121077430051,0.007584383670694626,0.02268100020084197,0.00562496813825203,0.006221520986373683,0.011387512861433925,0.006353890081467435,0.04063500902259271,0.022023302030284884
rs6m_XLI,0.007024730831766949,0.014999439683871853,0.012985795195516412,0.0030134487814152807,0.008705977251960045,0.010734855281817744,0.01479307260652492,0.012533861406316807,0.02071395942014863
rs6m_XLK,0.003471978873711799,0.002655699841873874,0.014829050456082384,0.005318901041024318,0.016461541713298514,0.03248155678399788,0.004486411575624734,0.005925180991194236,0.007329179980578897
rs6m_XLP,0.0033925339299770117,0.000852630076042616,0.0022664447439813035,0.014764003958181537,0.016865080760005348,0.014636717140247942,0.0028655217234419814,0.02005745192989167,0.019112925200963582
rs6m_XLU,0.02119235767559816,0.008350078604301587,0.0034902247298865584,0.002711815858298749,0.0017108557539481533,0.01350803314272316,0.006157180145324407,0.009988040727265618,0.006540628699362117
rs6m_XLV,0.005438463964863892,0.0043006349607782315,0.01211188810910229,0.002846914349238565,0.004401529523570006,0.01140550300320001,0.004912957300984339,0.008244906072849568,0.003494795817393561
rs6m_XLY,0.011256518810338626,0.019464812177111313,0.006073582464805405,0.020245681094629417,0.022025432015308127,0.0053888246901276525,0.009530211622093448,0.0024948617636552156,0.007872969409037804
vol1m_XLB,0.016032148282958725,0.003124268394415495,0.005609795269355418,0.00016855218446501394,0.017193974903180094,0.0006180972547487223,0.02318828935354075,0.0183786695885814,0.012925785812326604
vol1m_XLE,0.01886760187181849,0.005161822794318342,0.010122129320437007,0.017038173405229763,0.023800842926696528,0.004254344703437264,0.01108063267655772,0.011249107601006319,0.002010498175796719
vol1m_XLF,0.006267491765941606,0.0031197695121154196,0.0069414391621421285,0.0014797086708098854,0.005729992406153655,0.018668106481220657,0.0072826611754748865,0.005664790460251702,0.0042932997270590505
vol1m_XLI,0.004855629797940323,0.0036952081934211014,0.009851401107791109,0.003978693533127061,0.0008086981636571772,0.017487973461528243,0.007339544614333501,0.018197057458911592,0.00566980446596137
vol1m_XLK,0.0032492256453417207,0.005940626992522872,0.012881761114529426,0.0060771623234917365,0.010612378413531116,0.0016088259326576834,0.0028503284281558407,0.0007922615622982187,0.013228302121967173
vol1m_XLP,0.003562196689355125,0.015407525312209286,0.01095323802015409,0.0028585254517819905,0.005022762808477554,0.06936070355892895,0.006777687854946111,0.004080239077054168,0.013808186854367523
vol1m_XLU,0.003438954761890858,0.008403939816726075,0.017020394128819546,0.00456997561436714,0.015634068761904103,0.009935941521594575,0.009403091349064153,0.006398032525554188,0.013706101773828411
vol1m_XLV,0.0013232053650027156,0.005837401026252476,0.001092207904817544,0.00488023275160874,0.022801324491396383,0.01694347112324674,0.057318554625806754,0.006444223695994528,0.0076156027184378266
vol1m_XLY,0.003761925675424425,0.0017976412738034643,0.008882066377737223,0.0006920515623737946,0.015177760086082839,0.00800978164510351,0.015531165517848292,0.0003974070669351252,0.031255282579302095
vol3m_XLB,0.0012948753826053719,0.001953730253003006,0.0010972451487353044,0.0007887338271441228,0.008923454436833454,0.003926430234920566,0.0052392946874009125,0.0016268257139347253,0.00012710495150324857
vol3m_XLE,0.03760132151486778,0.00938323249120255,0.010748176264335604,0.005300122133131613,0.0053093977842599595,0.006765158021507016,0.0014093292733813516,0.0005609710316845742,0.0003037637766419004
vol3m_XLF,0.011690808131130655,0.02041722635811474,0.0147111105713046,0.0014658134009307249,0.003517608784681363,0.01226139996489051,0.027780605095708365,0.015456066543002836,0.00919915557452313
vol3m_XLI,0.004114976055021322,0.0024291965960838617,0.0008160133118080535,0.0007386471211042219,0.01233801031543706,0.014302980665960462,0.004706814469299785,5.5673926867801755e-05,0.005175361680851254
vol3m_XLK,0.00589511076908764,0.0005761115600730669,0.006422967251968672,0.004287504096479071,0.01790985070868556,0.007267578475595814,0.023352748286990396,0.008930979487133223,0.011184224846184084
vol3m_XLP,0.01869319600214924,0.0206603689190553,0.034240267896567984,0.0022584732643309417,0.014584715582943577,0.008274066497619335,0.0049427115885476445,0.009440982967442396,0.002597597769514867
vol3m_XLU,0.017638635182949294,0.005127908745798645,0.023330863489209295,0.031847908437379384,0.012464521394378059,0.006004247428253631,0.01215954484602567,0.008237076252112095,0.020859542126455476
vol3m_XLV,0.0034430624171251276,0.016624939061055267,0.0023129069487825434,0.010088401381068342,0.0039210591581473764,0.009976832393812675,0.011931803157535604,0.013173824114117392,0.0008666101872999736
vol3m_XLY,0.0012049904190756452,0.0070876625187985655,0.0016532923147653147,0.008522668579611982,0.018731128855961076,0.0009276456024210561,0.0001916198032538781,0.007776597822943749,0.007346370779064647
